Model,Price,Performance,Brand,Popularity
Vega Frontier Edition,1499.00,21283,AMD,0.0
RX 5700,319.99,23895,AMD,0.5
RX 5700 XT,389.99,24581,AMD,4.9
RX VEGA 64,419.99,22481,AMD,3.6
RX 570,119.99,13074,AMD,3.5
RX 580,159.99,13969,AMD,5.2
RX 590,189.99,16509,AMD,1.1
RX VEGA 56,289.99,20558,AMD,2.8
Radeon VII,569.99,23995,AMD,0.7
RTX 2070,424.99,22587,Nvidia,3.6
GTX 1660 Ti,252.98,16272,Nvidia,1.5
RTX 2060,309.99,19230,Nvidia,2.9
RTX 2080,619.99,26748,Nvidia,4.1
RTX 2080 SUPER,683.98,27757,Nvidia,1.4
RTX 2070 SUPER,498.99,25799,Nvidia,4.5
GTX 1650,144.89,8901,Nvidia,0.2
RTX 2080 Ti,1049.99,32072,Nvidia,7.6
RTX 2060 SUPER,399.99,22265,Nvidia,1.3
GTX 1660,203.98,13929,Nvidia,0.9
GTS 450,58.13,1433,Nvidia,0.0
Pro Duo,3999.00,27185,AMD,0.0
